vertical_Accel_x,vertical_Accel_y,vertical_Accel_z,accel_time_list
5.1,-9.5,-4.8,13.625
5.4,-10.2,-4.4,13.627
5.3,-10.3,-4.1,13.628
5.3,-10.2,-3.7,13.63
5.8,-11.5,-4.1,13.723
7.6,-12.8,-4.2,13.729
6.6,-12.5,-3.4,13.731
4.8,-10.7,-4.1,13.733
3.4,-8.5,-4.7,13.738
2.187,-7.732,-5.181,13.822
1.788,-8.321,-5.891,13.824
2.184,-9.265,-6.852,13.838
2.822,-10.38,-7.398,13.84
2.439,-12.104,-5.696,13.923
2.263,-12.286,-5.014,13.925
1.608,-11.961,-4.539,13.926
1.204,-11.58,-4.22,13.931
0.953,-11.335,-3.765,13.933
0.266,-10.479,-4.399,14.023
0.223,-9.989,-4.069,14.025
0.119,-9.237,-3.957,14.026
0.439,-8.737,-3.717,14.028
0.107,-8.481,-2.519,14.033
1.235,-8.128,-1.531,14.123
1.578,-7.722,-1.889,14.125
1.626,-6.901,-2.14,14.126
1.823,-6.659,-2.543,14.128
1.826,-6.372,-2.891,14.13
1.221,-6.707,-2.234,14.223
1.306,-6.876,-2.115,14.224
1.216,-6.971,-1.764,14.237
1.141,-7.275,-1.723,14.239
1.024,-7.226,-1.569,14.241
-0.012,-7.616,-1.08,14.323
0.5,-7.5,-1.2,14.324
0.244,-7.808,-1.34,14.326
-0.956,-9.408,-1.84,14.328
-1.368,-10.724,-1.62,14.329
0.759,-10.186,-1.566,14.423
1.06,-8.553,-2.298,14.425
0.821,-7.84,-2.606,14.426
-0.085,-8.638,-2.874,14.428
-0.913,-10.496,-3.836,14.43
0.074,-12.183,-2.305,14.523
0.414,-11.532,-0.643,14.524
-0.571,-10.838,0.117,14.53
-0.812,-9.915,-0.748,14.533
-0.424,-9.93,-1.797,14.534
0.947,-10.521,-1.013,14.623
1.349,-10.574,-0.938,14.644
0.981,-10.372,-1.355,14.646
1.274,-10.66,-1.657,14.648
2.098,-10.747,-0.675,14.649
3.682,-9.676,-0.382,14.722
3.027,-9.425,-0.827,14.724
2.867,-9.333,-2.067,14.729
3.135,-9.547,-2.335,14.731
3.757,-9.531,-2.657,14.733
3.624,-9.165,-2.524,14.823
3.463,-8.973,-2.763,14.824
3.337,-9.127,-3.137,14.826
3.706,-9.841,-3.206,14.828
4.002,-10.38,-3.002,14.829
6.1,-10.231,-1.154,14.923
6.1,-10.4,-1.3,14.93
5.8,-10.415,-1.077,14.931
5.4,-11.246,-0.731,14.933
5.6,-13.231,-0.554,14.934
6.3,-14.638,-0.292,15.023
6.2,-13.892,-0.062,15.024
5.1,-11.885,0.077,15.031
3.7,-10.492,0.038,15.033
2.8,-10.438,-0.092,15.035
1.655,-10.668,3.481,15.123
1.895,-11.129,3.763,15.124
1.981,-11.417,3.752,15.126
1.887,-11.476,3.664,15.128
1.802,-11.188,3.675,15.129
0.149,-10.19,5.484,15.223
0.071,-9.906,5.429,15.224
-0.343,-9.769,4.91,15.226
-0.739,-9.908,4.573,15.228
-1.182,-9.676,4.582,15.229
-2.488,-9.559,3.704,15.323
-2.417,-9.214,3.83,15.331
-2.231,-8.944,3.78,15.332
-1.686,-8.77,3.551,15.334
-1.78,-8.402,3.389,15.345
-2.081,-7.483,4.305,15.423
-1.48,-7.252,4.23,15.426
-1.45,-7.165,4.337,15.428
-1.043,-7.219,4.639,15.43
-0.911,-7.37,5.097,15.432
-0.785,-7.795,4.418,15.522
-0.592,-7.141,4.604,15.524
-0.625,-6.577,4.589,15.525
-0.461,-6.425,4.584,15.531
-0.036,-5.16,5.645,15.623
-0.317,-5.408,6.006,15.624
-1.121,-6.498,6.074,15.626
-0.806,-8.036,6.902,15.627
0.866,-6.515,8.111,15.629
1.329,-5.444,7.382,15.723
0.851,-4.404,6.488,15.724
0.603,-4.907,5.476,15.726
-0.649,-6.704,5.788,15.727
-2.139,-7.995,7.34,15.744
1.344,-8.856,10.078,15.823
2.786,-8.523,11.343,15.824
2.214,-6.577,10.757,15.826
1.648,-6.606,9.694,15.828
1.887,-6.786,8.047,15.829
3.253,-6.282,7.413,15.922
3.785,-7.464,6.865,15.931
4.464,-8.009,6.164,15.932
4.32,-8.0,6.26,15.935
3.942,-7.355,6.362,15.936
4.635,-8.139,4.488,16.027
5.104,-7.816,4.563,16.029
5.729,-6.814,5.143,16.03
